family	faction	loot_lookup	tier1	tier2	tier3	tier4	tier5
corsair_behemoth	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
corsair_manowar	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
corsair_raider	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
corsair_sloop	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
coynite_communications_vessel	pirate	civilian_tier1	0.34	0.32	0.3	0.28	0.26
coynite_merc_captain	pirate	civilian_tier2	0.221	0.208	0.195	0.182	0.169
coynite_merc_neutron	pirate	civilian_tier1	0.221	0.208	0.195	0.182	0.169
coynite_merc_pulsar	pirate	civilian_tier1	0.153	0.144	0.135	0.126	0.117
coynite_merc_quasar	pirate	civilian_tier1	0.17	0.16	0.15	0.14	0.13
coynite_mothership	pirate	civilian_tier3	0.85	0.8	0.75	0.7	0.65
crystal_smuggler_yt1300	pirate	civilian_tier1	0.34	0.32	0.3	0.28	0.26
dantooine_miner_boss	civilian	pirate_tier2	0.187	0.176	0.165	0.154	0.143
dantooine_miner_guard	civilian	civilian_tier1	0.17	0.16	0.15	0.14	0.13
dantooine_miner_scout	civilian	civilian_tier1	0.17	0.16	0.15	0.14	0.13
dantooine_scavenger_bomber	pirate	pirate_tier1	0.1785	0.168	0.1575	0.147	0.1365
dantooine_scavenger_boss	pirate	pirate_tier1	0.208	0.195	0.182	0.169	0.169
dantooine_scavenger_fighter	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
dantooine_slave_trader_boss	pirate	story_dantooine_slave	0.192	0.18	0.168	0.156	0.156
dantooine_slave_trader_guard	pirate	story_dantooine_slave	0.17	0.16	0.15	0.14	0.13
dantooine_slave_trader_scout	pirate	story_dantooine_slave	0.17	0.16	0.15	0.14	0.13
dath_freelance_killer	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
dath_witchblood_clan_punisher	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
dath_witchblood_clan_soldier	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
death_watch_assassin	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
death_watch_eradicator	pirate	pirate_tier1	0.204	0.192	0.18	0.168	0.156
death_watch_prowler	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
debris_smuggler_bomber	pirate	pirate_tier1	0.1785	0.168	0.1575	0.147	0.1365
debris_smuggler_fighter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
endor_artisan_diplomat	civilian	civilian_tier1	0.17	0.16	0.15	0.14	0.13
endor_artisan_peacekeeper	civilian	civilian_tier1	0.153	0.144	0.135	0.126	0.117
escort_tie_advanced	imperial	imperial_tier1	0.204	0.192	0.18	0.168	0.156
escort_tie_basic	imperial	imperial_tier1	0.17	0.16	0.15	0.14	0.13
escort_tie_interceptor	imperial	imperial_tier1	0.153	0.144	0.135	0.126	0.117
evil_raider_cutthroat	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
evil_raider_fighter	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
evil_raider_tyrant	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
force_assassin	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
force_bomber	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
hidden_daggers_eliminator	pirate	hutt_tier1	0.153	0.144	0.135	0.126	0.117
hidden_daggers_enforcer	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
hidden_daggers_executioner	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
hidden_daggers_gunship	pirate	pirate_tier1	0.85	0.8	0.75	0.7	0.65
hidden_daggers_gunship_duty	pirate	pirate_tier1	0.85	0.8	0.75	0.7	0.65
hidden_daggers_killer	pirate	pirate_tier1	0.204	0.192	0.18	0.168	0.156
hidden_daggers_nebula_stalker	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
hidden_daggers_slayer	pirate	pirate_tier1	0.221	0.208	0.195	0.182	0.169
hiddendaggers_bomber	pirate	pirate_tier1	0.1785	0.168	0.1575	0.147	0.1365
hiddendaggers_smuggler	pirate	pirate_tier1	0.32	0.3	0.28	0.26	0.26
hiddendaggers_smuggler_duty	pirate	pirate_tier1	0.32	0.3	0.28	0.26	0.26
imp_decimator	imperial	imperial_tier1	0.34	0.32	0.3	0.28	0.26
imp_imperial_gunboat	imperial	imperial_tier1	0.85	0.8	0.75	0.7	0.65
imp_imperial_gunboat_duty	imperial	imperial_tier1	0.85	0.8	0.75	0.7	0.65
imp_lambda_shuttle	imperial	imperial_tier1	0.425	0.4	0.375	0.35	0.325
imp_ss_tie_advanced	imperial	imperial_tier1	0.204	0.192	0.18	0.168	0.156
imp_ss_tie_bomber	imperial	imperial_tier1	0.187	0.176	0.165	0.154	0.143
imp_ss_tie_fighter	imperial	imperial_tier1	0.17	0.16	0.15	0.14	0.13
imp_tie_advanced	imperial	imperial_tier1	0.204	0.192	0.18	0.168	0.156
imp_tie_aggressor	imperial	imperial_tier1	0.272	0.256	0.24	0.224	0.208
imp_tie_bomber	imperial	imperial_tier1	0.187	0.176	0.165	0.154	0.143
imp_tie_fighter	imperial	imperial_tier1	0.17	0.16	0.15	0.14	0.13
imp_tie_interceptor	imperial	imperial_tier1	0.153	0.144	0.135	0.126	0.117
imp_tie_oppressor	imperial	imperial_tier1	0.187	0.176	0.165	0.154	0.143
kimogila_champion	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
kimogila_inciter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
kimogila_scrapper	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
mercenary_courier	civilian	pirate_tier1	0.153	0.144	0.135	0.126	0.117
mercenary_guard	civilian	civilian_tier1	0.1785	0.168	0.1575	0.147	0.1365
mercenary_heavy_cruiser	civilian	pirate_tier1	0.68	0.64	0.6	0.56	0.52
mercenary_light_cruiser	civilian	pirate_tier1	0.68	0.64	0.6	0.56	0.52
mercenary_spy_fighter	civilian	pirate_tier1	0.17	0.16	0.15	0.14	0.13
mining_pirate_firespray	pirate	pirate_tier1	0.1	0.1	0.1	0.1	0.1
mining_pirate_hutt_medium	pirate	pirate_tier1	0.1	0.1	0.1	0.1	0.1
mining_pirate_light_fighter	pirate	pirate_tier1	0.1	0.1	0.1	0.1	0.1
mining_pirate_xwing	pirate	pirate_tier1	0.1	0.1	0.1	0.1	0.1
nebula_assassin_bomber	pirate	pirate_tier1	0.204	0.192	0.18	0.168	0.156
nebula_assassin_bounty_hunter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
nebula_assassin_fighter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
nebula_assassin_saboteur	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
nebula_scientist_analyst	imperial	civilian_tier1	0.1785	0.168	0.1575	0.147	0.1365
nebula_scientist_bodyguard	imperial	civilian_tier1	0.187	0.176	0.165	0.154	0.143
nebula_scientist_lookout	imperial	civilian_tier1	0.17	0.16	0.15	0.14	0.13
penumbra_omen_eliminator	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
penumbra_omen_fighter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
player_command_tie_bomber	imperial	imperial_tier1	0.187	0.176	0.165	0.154	0.143
rancor_clan_ace	pirate	pirate_tier2	0.17	0.16	0.15	0.14	0.13
rancor_clan_elite	pirate	pirate_tier1	0.16	0.15	0.14	0.13	0.13
rancor_clan_gunship	pirate	pirate_tier2	0.208	0.195	0.182	0.169	0.221
rancor_clan_soldier	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
reb_awing	rebel	rebel_tier1	0.153	0.144	0.135	0.126	0.117
reb_bwing	rebel	rebel_tier1	0.204	0.192	0.18	0.168	0.156
reb_gunboat	rebel	rebel_tier1	0.68	0.64	0.6	0.56	0.52
reb_gunboat_duty	rebel	rebel_tier1	0.68	0.64	0.6	0.56	0.52
reb_xwing	rebel	rebel_tier1	0.187	0.176	0.165	0.154	0.143
reb_ykl37r	rebel	rebel_tier1	0.34	0.32	0.3	0.28	0.26
reb_ywing	rebel	rebel_tier1	0.1785	0.168	0.1575	0.147	0.1365
reb_z95	rebel	rebel_tier1	0.17	0.16	0.15	0.14	0.13
red_skull_pirate_heavy	pirate	pirate_tier1	0.221	0.182	0.195	0.182	0.169
red_skull_pirate_light	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
red_skull_pirate_medium	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
rogue_droid_alpha	pirate	pirate_tier2	0.17	0.16	0.15	0.14	0.13
rogue_droid_defender	pirate	pirate_tier1	0.16	0.15	0.14	0.13	0.13
rogue_droid_fighter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
rogue_droid_scrapper	pirate	pirate_tier3	0.17	0.16	0.16	0.15	0.13
scavenger_collector	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
scavenger_fanatic	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
scavenger_guardian	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
scavenger_hunter	pirate	pirate_tier1	0.187	0.176	0.165	0.154	0.143
scavenger_missileboat	pirate	pirate_tier1	0.1785	0.168	0.1575	0.147	0.1365
scavenger_raider	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.17
slave_trader_guardian	civilian	hutt_tier1	0.17	0.16	0.15	0.14	0.13
slave_trader_trader	civilian	hutt_tier1	0.153	0.144	0.135	0.126	0.117
slave_trader_transport	civilian	hutt_tier1	0.17	0.16	0.15	0.14	0.13
spice_pirate_fighter	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
spice_pirate_spy	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
spice_pirate_transport	pirate	pirate_tier1	0.12	0.13	0.14	0.15	0.16
velocity_merc_captain	civilian	civilian_tier1	0.187	0.176	0.165	0.154	0.143
velocity_merc_heavy_fighter	civilian	civilian_tier1	0.204	0.192	0.18	0.168	0.156
velocity_smuggler	civilian	civilian_tier1	0.34	0.32	0.3	0.28	0.26
void_wing_bomber	pirate	pirate_tier1	0.204	0.192	0.18	0.168	0.156
void_wing_dune_lizard	pirate	pirate_tier1	0.17	0.16	0.15	0.14	0.13
void_wing_yt1300	pirate	pirate_tier1	0.34	0.32	0.3	0.28	0.26
void_wing_yt1300_duty	pirate	pirate_tier1	0.34	0.32	0.3	0.28	0.26
vylukh_clan_ace	pirate	pirate_tier2	0.187	0.176	0.165	0.154	0.143
vylukh_clan_elite	pirate	pirate_tier1	0.144	0.135	0.126	0.117	0.117
vylukh_clan_soldier	pirate	pirate_tier1	0.153	0.144	0.135	0.126	0.117
vylukh_clan_transport	pirate	pirate_tier1	0.34	0.32	0.3	0.28	0.26
